sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels,errors
"Linden Floor Lamp",,Default,simple,"Products list/Products/Lamps",base,"Linden Floor Lamp",,,17,1,"Taxable Goods","Catalog, Search",1924567,,,,linden-floor-lamp,"Linden Floor Lamp",,,,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Micha Tall Table Lamp",,Default,simple,"Products list/Products/Lamps",base,"Micha Tall Table Lamp",,,29,1,"Taxable Goods","Catalog, Search",1384251,,,,micha-tall-table-lamp,"Micha Tall Table Lamp","Micha Tall Table Lamp","Micha Tall Table Lamp",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Elisabetta Table Lamp",,Default,simple,"Products list/Products/Lamps",base,"Elisabetta Table Lamp",,,27,1,"Taxable Goods","Catalog, Search",1564327,,,,elisabetta-table-lamp,"Elisabetta Table Lamp","Elisabetta Table Lamp","Elisabetta Table Lamp",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Farrow Table Lamp in Charcoal",,Default,simple,"Products list/Products/Lamps",base,"Farrow Table Lamp in Charcoal",,,22,1,"Taxable Goods","Catalog, Search",1876543,,,,farrow-table-lamp-in-charcoal,"Farrow Table Lamp in Charcoal","Farrow Table Lamp in Charcoal","Farrow Table Lamp in Charcoal",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Ombra Floor Lamp",,Default,simple,"Products list/Products/Lamps",base,"Ombra Floor Lamp",,,13,1,"Taxable Goods","Catalog, Search",1042371,,,,ombra-floor-lamp,"Ombra Floor Lamp","Ombra Floor Lamp","Ombra Floor Lamp",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Leyland Tiered Rectangular Chandelier",,Default,simple,"Products list/Products/Chandeliers",base,"Leyland Tiered Rectangular Chandelier",,,20,1,"Taxable Goods","Catalog, Search",1567942,,,,leyland-tiered-rectangular-chandelier,"Leyland Tiered Rectangular Chandelier","Leyland Tiered Rectangular Chandelier","Leyland Tiered Rectangular Chandelier",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Theron Linear Chandelier",,Default,simple,"Products list/Products/Chandeliers",base,"Theron Linear Chandelier",,,30,1,"Taxable Goods","Catalog, Search",1985732,,,,theron-linear-chandelier,"Theron Linear Chandelier","Theron Linear Chandelier","Theron Linear Chandelier",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Soltaire Round Chandelier",,Default,simple,"Products list/Products/Chandeliers",base,"Soltaire Round Chandelier",,,27,1,"Taxable Goods","Catalog, Search",1876429,,,,soltaire-round-chandelier,"Soltaire Round Chandelier","Soltaire Round Chandelier","Soltaire Round Chandelier",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Soltaire Linear Chandelier",,Default,simple,"Products list/Products/Chandeliers",base,"Soltaire Linear Chandelier",,,25,1,"Taxable Goods","Catalog, Search",1324895,,,,soltaire-linear-chandelier,"Soltaire Linear Chandelier","Soltaire Linear Chandelier","Soltaire Linear Chandelier",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Andreas Round Chandelier",,Default,simple,"Products list/Products/Chandeliers",base,"Andreas Round Chandelier",,,13,1,"Taxable Goods","Catalog, Search",1459832,,,,andreas-round-chandelier,"Andreas Round Chandelier","Andreas Round Chandelier","Andreas Round Chandelier",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Rhodes Round Chandelier",,Default,simple,"Products list/Products/Chandeliers",base,"Rhodes Round Chandelier",,,11,1,"Taxable Goods","Catalog, Search",1672024,,,,rhodes-round-chandelier,"Rhodes Round Chandelier","Rhodes Round Chandelier","Rhodes Round Chandelier",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Ghiaccio Round Chandelier",,Default,simple,"Products list/Products/Chandeliers",base,"Ghiaccio Round Chandelier",,,10,1,"Taxable Goods","Catalog, Search",1156743,,,,ghiaccio-round-chandelier,"Ghiaccio Round Chandelier","Ghiaccio Round Chandelier","Ghiaccio Round Chandelier",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Roscoe Linear Chandelier",,Default,simple,"Products list/Products/Chandeliers",base,"Roscoe Linear Chandelier",,,14,1,"Taxable Goods","Catalog, Search",1928374,,,,roscoe-linear-chandelier,"Roscoe Linear Chandelier","Roscoe Linear Chandelier","Roscoe Linear Chandelier",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Apollo Round Chandelier",,Default,simple,"Products list/Products/Chandeliers",base,"Apollo Round Chandelier",,,13,1,"Taxable Goods","Catalog, Search",1345786,,,,apollo-round-chandelier,"Apollo Round Chandelier","Apollo Round Chandelier","Apollo Round Chandelier",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Dandelion Round Chandelier",,Default,simple,"Products list/Products/Chandeliers",base,"Dandelion Round Chandelier",,,16,1,"Taxable Goods","Catalog, Search",1786543,,,,dandelion-round-chandelier,"Dandelion Round Chandelier","Dandelion Round Chandelier","Dandelion Round Chandelier",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Leyland Rectangular Chandelier",,Default,simple,"Products list/Products/Chandeliers",base,"Leyland Rectangular Chandelier",,,14,1,"Taxable Goods","Catalog, Search",1089234,,,,leyland-rectangular-chandelier,"Leyland Rectangular Chandelier","Leyland Rectangular Chandelier","Leyland Rectangular Chandelier",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Jeunet Round Chandelier",,Default,simple,"Products list/Products/Chandeliers",base,"Jeunet Round Chandelier",,,16,1,"Taxable Goods","Catalog, Search",1572837,,,,jeunet-round-chandelier,"Jeunet Round Chandelier","Jeunet Round Chandelier","Jeunet Round Chandelier",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Arno 3-Light Chandelier",,Default,simple,"Products list/Products/Chandeliers",base,"Arno 3-Light Chandelier",,,12,1,"Taxable Goods","Catalog, Search",1635098,,,,arno-3-light-chandelier,"Arno 3-Light Chandelier","Arno 3-Light Chandelier","Arno 3-Light Chandelier",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Arruga Chandelier",,Default,simple,"Products list/Products/Chandeliers",base,"Arruga Chandelier",,,20,1,"Taxable Goods","Catalog, Search",1412307,,,,arruga-chandelier,"Arruga Chandelier","Arruga Chandelier","Arruga Chandelier",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Paloma Chandelier",,Default,simple,"Products list/Products/Chandeliers",base,"Paloma Chandelier",,,21,1,"Taxable Goods","Catalog, Search",1657402,,,,paloma-chandelier,"Paloma Chandelier","Paloma Chandelier","Paloma Chandelier",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Arnett Round Chandelier",,Default,simple,"Products list/Products/Chandeliers",base,"Arnett Round Chandelier",,,23,1,"Taxable Goods","Catalog, Search",1726421,,,,arnett-round-chandelier,"Arnett Round Chandelier","Arnett Round Chandelier","Arnett Round Chandelier",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Griggs Chair",,Default,simple,"Products list/Products/Chairs",base,"Griggs Chair",,,17,1,"Taxable Goods","Catalog, Search",1219456,,,,griggs-chair,"Griggs Chair","Griggs Chair","Griggs Chair",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Gemma Swivel Chair",,Default,simple,"Products list/Products/Chairs",base,"Gemma Swivel Chair",,,29,1,"Taxable Goods","Catalog, Search",1981234,,,,gemma-swivel-chair,"Gemma Swivel Chair","Gemma Swivel Chair","Gemma Swivel Chair",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Rourke Chair",,Default,simple,"Products list/Products/Chairs",base,"Rourke Chair",,,27,1,"Taxable Goods","Catalog, Search",1128365,,,,rourke-chair,"Rourke Chair","Rourke Chair","Rourke Chair",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Cerrito Swivel Chair",,Default,simple,"Products list/Products/Chairs",base,"Cerrito Swivel Chair",,,22,1,"Taxable Goods","Catalog, Search",280000,,,,cerrito-swivel-chair,"Cerrito Swivel Chair","Cerrito Swivel Chair","Cerrito Swivel Chair",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Aimee Chair in Nomad Snow",,Default,simple,"Products list/Products/Chairs",base,"Aimee Chair in Nomad Snow",,,13,1,"Taxable Goods","Catalog, Search",1200000,,,,aimee-chair-in-nomad-snow,"Aimee Chair in Nomad Snow","Aimee Chair in Nomad Snow","Aimee Chair in Nomad Snow",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Griffin Swivel Chair",,Default,simple,"Products list/Products/Chairs",base,"Griffin Swivel Chair",,,20,1,"Taxable Goods","Catalog, Search",1400000,,,,griffin-swivel-chair,"Griffin Swivel Chair","Griffin Swivel Chair","Griffin Swivel Chair",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Jagger Chair in Black",,Default,simple,"Products list/Products/Chairs",base,"Jagger Chair in Black",,,12,1,"Taxable Goods","Catalog, Search",1500000,,,,jagger-chair-in-black,"Jagger Chair in Black","Jagger Chair in Black","Jagger Chair in Black",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Rowland Tailored High-Back Armless Motion Recliner",,Default,simple,"Products list/Products/Chairs",base,"Rowland Tailored High-Back Armless Motion Recliner",,,20,1,"Taxable Goods","Catalog, Search",1200000,,,,rowland-tailored-high-back-armless-motion-recliner,"Rowland Tailored High-Back Armless Motion Recliner","Rowland Tailored High-Back Armless Motion Recliner","Rowland Tailored High-Back Armless Motion Recliner",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Deacon Swivel Recliner",,Default,simple,"Products list/Products/Chairs",base,"Deacon Swivel Recliner",,,21,1,"Taxable Goods","Catalog, Search",1345678,,,,deacon-swivel-recliner,"Deacon Swivel Recliner","Deacon Swivel Recliner","Deacon Swivel Recliner",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Ilia Sunroom Lounge Chair",,Default,simple,"Products list/Products/Chairs",base,"Ilia Sunroom Lounge Chair",,,23,1,"Taxable Goods","Catalog, Search",1234567,,,,ilia-sunroom-lounge-chair,"Ilia Sunroom Lounge Chair","Ilia Sunroom Lounge Chair","Ilia Sunroom Lounge Chair",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Laris Chair",,Default,simple,"Products list/Products/Chairs",base,"Laris Chair",,,17,1,"Taxable Goods","Catalog, Search",1876543,,,,laris-chair,"Laris Chair","Laris Chair","Laris Chair",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Nelson Leather Chair",,Default,simple,"Products list/Products/Chairs",base,"Nelson Leather Chair",,,29,1,"Taxable Goods","Catalog, Search",1042371,,,,nelson-leather-chair,"Nelson Leather Chair","Nelson Leather Chair","Nelson Leather Chair",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Lloyd Leather Chair",,Default,simple,"Products list/Products/Chairs",base,"Lloyd Leather Chair",,,27,1,"Taxable Goods","Catalog, Search",1567942,,,,lloyd-leather-chair,"Lloyd Leather Chair","Lloyd Leather Chair","Lloyd Leather Chair",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Tangier Chair",,Default,simple,"Products list/Products/Chairs",base,"Tangier Chair",,,22,1,"Taxable Goods","Catalog, Search",1985732,,,,tangier-chair,"Tangier Chair","Tangier Chair","Tangier Chair",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Granby Chair",,Default,simple,"Products list/Products/Chairs",base,"Granby Chair",,,13,1,"Taxable Goods","Catalog, Search",1876429,,,,granby-chair,"Granby Chair","Granby Chair","Granby Chair",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Mara Cutout Chair",,Default,simple,"Products list/Products/Chairs",base,"Mara Cutout Chair",,,20,1,"Taxable Goods","Catalog, Search",1876543,,,,mara-cutout-chair,"Mara Cutout Chair","Mara Cutout Chair","Mara Cutout Chair",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Reyna Chair",,Default,simple,"Products list/Products/Chairs",base,"Reyna Chair",,,30,1,"Taxable Goods","Catalog, Search",1042371,,,,reyna-chair,"Reyna Chair","Reyna Chair","Reyna Chair",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Mette Chair",,Default,simple,"Products list/Products/Chairs",base,"Mette Chair",,,25,1,"Taxable Goods","Catalog, Search",1567942,,,,mette-chair,"Mette Chair","Mette Chair","Mette Chair",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Rowland Leather High-Back Armless Motion Recliner",,Default,simple,"Products list/Products/Chairs",base,"Rowland Leather High-Back Armless Motion Recliner",,,13,1,"Taxable Goods","Catalog, Search",1985732,,,,rowland-leather-high-back-armless-motion-recliner,"Rowland Leather High-Back Armless Motion Recliner","Rowland Leather High-Back Armless Motion Recliner","Rowland Leather High-Back Armless Motion Recliner",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Rowland Leather Armless Motion Recliner",,Default,simple,"Products list/Products/Chairs",base,"Rowland Leather Armless Motion Recliner",,,11,1,"Taxable Goods","Catalog, Search",1876429,,,,rowland-leather-armless-motion-recliner,"Rowland Leather Armless Motion Recliner","Rowland Leather Armless Motion Recliner","Rowland Leather Armless Motion Recliner",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Thomas Round Mirror",,Default,simple,"Products list/Products/Decor",base,"Thomas Round Mirror",,,10,1,"Taxable Goods","Catalog, Search",1324895,,,,thomas-round-mirror,"Thomas Round Mirror","Thomas Round Mirror","Thomas Round Mirror",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Porter Floor Mirror",,Default,simple,"Products list/Products/Decor",base,"Porter Floor Mirror",,,14,1,"Taxable Goods","Catalog, Search",1459832,,,,porter-floor-mirror,"Porter Floor Mirror","Porter Floor Mirror","Porter Floor Mirror",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
